nom_dep,nom_prov,nom_mun,c_ut,fid_unidad
Beni,Cercado,San Javier,080102,24
Beni,Cercado,Trinidad,080101,75
Beni,General Jose Balliv,Reyes,080301,49
Beni,General Jose Balliv,Rurrenabaque,080304,36
Beni,General Jose Balliv,San Borja,080302,119
Beni,General Jose Balliv,Santa Rosa,080303,35
Beni,Itenez,Baures,080802,13
Beni,Itenez,Huacaraje,080803,8
Beni,Itenez,Magdalena,080801,32
Beni,Mamore,Puerto Siles,080703,5
Beni,Mamore,San Joaquin,080701,17
Beni,Mamore,San Ramon,080702,15
Beni,Marban,Loreto,080601,26
Beni,Marban,San Andres,080602,55
Beni,Moxos,San Ignacio,080501,93
Beni,Vaca Diez,Guayaramerin,080202,59
Beni,Vaca Diez,Riberalta,080201,111
Beni,Yacuma,Exaltacion,080402,31
Beni,Yacuma,Santa Ana de Yacuma,080401,49
Chuquisaca,Azurduy,Tarvita (Villa Arias),010202,44
Chuquisaca,Azurduy,Villa Azurduy,010201,38
Chuquisaca,Belisario Boeto,Villa Serrano,010801,46
Chuquisaca,Hernando Siles,Monteagudo,010501,74
Chuquisaca,Hernando Siles,San Pablo de Huacareta,010502,40
Chuquisaca,Luis Calvo,Huacaya,011002,12
Chuquisaca,Luis Calvo,Machareti,011003,22
Chuquisaca,Luis Calvo,Villa Vaca Guzman (Muyupampa),011001,34
Chuquisaca,Nor Cinti,Camargo,010701,54
Chuquisaca,Nor Cinti,Incahuasi,010703,32
Chuquisaca,Nor Cinti,San Lucas,010702,114
Chuquisaca,Nor Cinti,Villa Charcas,010704,31
Chuquisaca,Oropeza,Poroma,010103,50
Chuquisaca,Oropeza,Sucre,010101,195
Chuquisaca,Oropeza,Yotala,010102,31
Chuquisaca,Sud Cinti,Culpina,010902,62
Chuquisaca,Sur Cinti,Las Carretas,010903,19
Chuquisaca,Sur Cinti,Villa Abecia,010901,14
Chuquisaca,Tomina,El Villar,010405,16
Chuquisaca,Tomina,Padilla,010401,52
Chuquisaca,Tomina,Sopachuy,010403,21
Chuquisaca,Tomina,Tomina,010402,24
Chuquisaca,Tomina,Villa Alcala,010404,11
Chuquisaca,Yamparaez,Tarabuco,010601,61
Chuquisaca,Yamparaez,Yamparaez,010602,27
Chuquisaca,Zuda?ez,Icla (R.Mujia),010304,28
Chuquisaca,Zuda?ez,Presto,010302,29
Chuquisaca,Zuda?ez,Villa Mojocoya,010303,24
