id_0;fid_unidad;cod_le;cod_ue_det;des_ue_det;cod_dep;nom_dep;cod_prov;nom_prov;cod_mun;nom_mun;cod_mod_ap;modalidad;cod_le_12;cod_ue;des_ue;area;cod_depn;cant_2020;crec_anual;cant_2024
1;6317;71720016;71720022;NARANJITOS;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720016;71720022;NARANJITOS;R;1;850;7;
2;6316;71720015;71720021;CAMPO GRANDE;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720015;71720021;CAMPO GRANDE;R;1;766;4;
3;6318;71720017;71720023;PORCELANA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720017;71720023;PORCELANA;R;1;11;1;
4;6306;71720004;71720010;8 DE SEPTIEMBRE;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720004;71720010;8 DE SEPTIEMBRE;U;2;805;8;
5;6328;71720030;71720005;GUIDO VILLAGOMEZ;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720030;71720005;GUIDO VILLAGOMEZ;U;1;389;9;
6;6322;71720022;"71720030;71720031";"OCTAVIO CAMPERO ECHAZU A;OCTAVIO CAMPERO ECHAZU";6;Tarija;2;Arce;2;Bermejo;1;Regular;71720022;71720031;OCTAVIO CAMPERO ECHAZU;U;2;49;4;
7;6319;71720018;"71720006;71720024;71720026";"LIBERTADOR SIMON BOLIVAR;25 DE MAYO;BOLIVIA";6;Tarija;2;Arce;2;Bermejo;1;Regular;71720018;71720006;LIBERTADOR SIMON BOLIVAR;U;1;510;3;
8;6304;71720002;"71720007;71720028";"MCAL. ANDRES DE SANTA CRUZ;BERMEJO";6;Tarija;2;Arce;2;Bermejo;1;Regular;71720002;71720007;MCAL. ANDRES DE SANTA CRUZ;U;1;254;1;
9;6327;71720029;71720042;LUZ Y VERDAD;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720029;71720042;LUZ Y VERDAD;U;3;917;7;
10;6303;71720001;71720003;TARIJA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720001;71720003;TARIJA;U;1;762;7;
11;6320;71720019;"71720001;71720025";"OSCAR ALFARO;BOLIVIA DIURNO";6;Tarija;2;Arce;2;Bermejo;1;Regular;71720019;71720001;OSCAR ALFARO;U;1;784;6;
12;6324;71720025;71720032;EDUARDO ABAROA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720025;71720032;EDUARDO ABAROA;U;3;594;9;
13;6312;71720011;71720017;LA ESPERANZA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720011;71720017;LA ESPERANZA;R;1;869;4;
14;6330;71720032;71720044;CLARET;6;Tarija;2;Arce;2;Bermejo;2;Alternativa;71720032;71720044;CLARET;U;2;997;9;
15;6326;71720028;71720004;ANTONIO JOSE DE SUCRE;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720028;71720004;ANTONIO JOSE DE SUCRE;U;1;638;5;
16;6321;71720021;71720038;SAN ANTONIO;6;Tarija;2;Arce;2;Bermejo;2;Alternativa;71720021;71720038;SAN ANTONIO;U;2;551;7;
17;6305;71720003;71720008;AULIO ARAOZ;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720003;71720008;AULIO ARAOZ;U;1;526;4;
18;6323;71720024;71720033;INGENIERO FRITZ LOCHMANN;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720024;71720033;INGENIERO FRITZ LOCHMANN;U;3;604;9;
19;6332;71720034;71720046;25 DE ENERO;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720034;71720046;25 DE ENERO;R;1;885;0;
20;6309;71720008;71720014;CANDADITOS;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720008;71720014;CANDADITOS;R;1;409;9;
21;6315;71720014;71720029;ARROZALES;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720014;71720029;ARROZALES;R;1;598;1;
22;6336;71720038;71720050;EL NUEVE;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720038;71720050;EL NUEVE;R;1;982;6;
23;6307;71720005;71720011;ALTO CALAMA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720005;71720011;ALTO CALAMA;R;1;772;6;
24;6310;71720009;71720015;CANDADO GRANDE;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720009;71720015;CANDADO GRANDE;R;1;507;8;
25;6314;71720013;71720019;JOSE MARIA LINARES;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720013;71720019;JOSE MARIA LINARES;R;1;29;6;
26;6331;71720033;71720045;QUEBRADA CHICA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720033;71720045;QUEBRADA CHICA;R;1;901;4;
27;6311;71720010;71720016;FLOR DE ORO;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720010;71720016;FLOR DE ORO;R;1;657;9;
28;6313;71720012;71720018;SANTA ROSA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720012;71720018;SANTA ROSA;R;1;863;4;
29;6333;71720035;71720047;LA FLORIDA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720035;71720047;LA FLORIDA;R;1;796;7;
30;6325;71720026;71720020;EL TORO;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720026;71720020;EL TORO;R;1;115;9;
31;6334;71720036;71720048;NARANJO DULCE;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720036;71720048;NARANJO DULCE;R;1;949;2;
32;6308;71720007;71720013;BARREDERO;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720007;71720013;BARREDERO;R;1;884;0;
33;6329;71720031;71720043;VILLA NUEVA;6;Tarija;2;Arce;2;Bermejo;1;Regular;71720031;71720043;VILLA NUEVA;R;1;216;0;
34;13247;81720017;81720018;LOS POZOS;6;Tarija;2;Arce;2;Bermejo;1;Regular;81720017;81720018;LOS POZOS;R;1;280;1;
